App;User Group;1;2;3;4;5;6;7;8
l10n_gw;base.group_user;30;30;30;30;30;30;30;30
l10n_hk;base.group_user;66;66;66;66;66;66;66;66
l10n_hn;base.group_user;45;45;45;45;45;45;45;45
l10n_hr;base.group_user;888;888;888;888;888;888;888;888
l10n_hr_euro;base.group_user;0;0;0;0;0;0;0;0
l10n_hr_kuna;base.group_user;30;30;30;30;30;30;30;30
l10n_hu;base.group_user;186;186;186;186;186;186;186;186
l10n_hu_edi;base.group_user;30;30;30;30;30;30;30;30
l10n_id;base.group_user;88,5;88,5;88,5;88,5;88,5;88,5;88,5;88,5
l10n_id_efaktur;base.group_user;33,3;33,3;33,3;33,3;33,3;33,3;33,3;33,3
l10n_id_efaktur_coretax;base.group_user;0;0;0;0;0;0;0;0
l10n_id_pos;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_ie;base.group_user;75;75;75;75;75;75;75;75
l10n_il;base.group_user;72;72;72;72;72;72;72;72
l10n_in;base.group_user;223,8;223,8;223,8;223,8;223,8;223,8;223,8;223,8
l10n_in_edi;base.group_user;4,5;4,5;4,5;4,5;4,5;4,5;4,5;4,5
l10n_in_edi_ewaybill;base.group_user;0;0;0;0;0;0;0;0
l10n_in_ewaybill_stock;base.group_user;0;0;0;0;0;0;0;0
l10n_in_gstin_status;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_in_hr_holidays;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_in_pos;base.group_user;51;51;51;51;51;51;51;51
l10n_in_purchase;base.group_user;45;45;45;45;45;45;45;45
l10n_in_purchase_stock;base.group_user;48;48;48;48;48;48;48;48
l10n_in_sale;base.group_user;60;60;60;60;60;60;60;60
l10n_in_sale_stock;base.group_user;48;48;48;48;48;48;48;48
l10n_in_stock;base.group_user;33;33;33;33;33;33;33;33
l10n_in_tcs_tds;base.group_user;0;0;0;0;0;0;0;0
l10n_in_upi;base.group_user;0;0;0;0;0;0;0;0
l10n_in_withholding;base.group_user;270;270;270;270;270;270;270;270
l10n_in_withholding_payment;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_iq;base.group_user;30;30;30;30;30;30;30;30
l10n_it;base.group_user;258;258;258;258;258;258;258;258
l10n_it_edi;base.group_user;457,5;457,5;457,5;457,5;457,5;457,5;457,5;457,5
l10n_it_edi_doi;base.group_user;84;84;84;84;84;84;84;84
l10n_it_edi_ndd;base.group_user;0;0;0;0;0;0;0;0
l10n_it_edi_pa;base.group_user;180;180;180;180;180;180;180;180
l10n_it_edi_sale;base.group_user;0;0;0;0;0;0;0;0
l10n_it_edi_website_sale;base.group_user;33;33;33;33;33;33;33;33
l10n_it_edi_withholding;base.group_user;84;84;84;84;84;84;84;84
l10n_it_stock_ddt;base.group_user;0;0;0;0;0;0;0;0
l10n_jo;base.group_user;30;30;30;30;30;30;30;30
l10n_jo_edi;base.group_user;30;30;30;30;30;30;30;30
l10n_jp;base.group_user;84;84;84;84;84;84;84;84
l10n_jp_ubl_pint;base.group_user;60;60;60;60;60;60;60;60
l10n_ke;base.group_user;259,2;259,2;259,2;259,2;259,2;259,2;259,2;259,2
l10n_ke_edi_tremol;base.group_user;63;63;63;63;63;63;63;63
l10n_km;base.group_user;30;30;30;30;30;30;30;30
l10n_kr;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_kw;base.group_user;30;30;30;30;30;30;30;30
l10n_kz;base.group_user;30;30;30;30;30;30;30;30
l10n_latam_account_sequence;base.group_user;0;0;0;0;0;0;0;0
l10n_latam_base;base.group_user;30;30;30;30;30;30;30;30
l10n_latam_check;base.group_user;51,3;51,3;51,3;51,3;51,3;51,3;51,3;51,3
l10n_latam_invoice_document;base.group_user;51;51;51;51;51;51;51;51
l10n_lb_account;base.group_user;30;30;30;30;30;30;30;30
l10n_lt;base.group_user;99;99;99;99;99;99;99;99
l10n_lu;base.group_user;669,9;669,9;669,9;669,9;669,9;669,9;669,9;669,9
l10n_lu_peppol_id;base.group_user;180;180;180;180;180;180;180;180
l10n_lv;base.group_user;141;141;141;141;141;141;141;141
l10n_ma;base.group_user;348,9;348,9;348,9;348,9;348,9;348,9;348,9;348,9
l10n_mc;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_ml;base.group_user;30;30;30;30;30;30;30;30
l10n_mn;base.group_user;222;222;222;222;222;222;222;222
l10n_mt;base.group_user;30;30;30;30;30;30;30;30
l10n_mt_pos;base.group_user;0;0;0;0;0;0;0;0
l10n_mu_account;base.group_user;30;30;30;30;30;30;30;30
l10n_multilang;base.group_user;180;180;180;180;180;180;180;180
l10n_mx;base.group_user;439,5;439,5;439,5;439,5;439,5;439,5;439,5;439,5
l10n_mx_hr;base.group_user;4,5;4,5;4,5;4,5;4,5;4,5;4,5;4,5
l10n_my;base.group_user;66;66;66;66;66;66;66;66
l10n_my_edi;base.group_user;30;30;30;30;30;30;30;30
l10n_my_edi_extended;base.group_user;0;0;0;0;0;0;0;0
l10n_my_ubl_pint;base.group_user;60;60;60;60;60;60;60;60
l10n_mz;base.group_user;165;165;165;165;165;165;165;165
l10n_ne;base.group_user;30;30;30;30;30;30;30;30
l10n_ng;base.group_user;30;30;30;30;30;30;30;30
l10n_nl;base.group_user;210;210;210;210;210;210;210;210
l10n_no;base.group_user;183;183;183;183;183;183;183;183
l10n_nz;base.group_user;69;69;69;69;69;69;69;69
l10n_pa;base.group_user;69;69;69;69;69;69;69;69
l10n_pe;base.group_user;489;489;489;489;489;489;489;489
l10n_pe_pos;base.group_user;0;0;0;0;0;0;0;0
l10n_pe_website_sale;base.group_user;30;30;30;30;30;30;30;30
l10n_ph;base.group_user;120,3;120,3;120,3;120,3;120,3;120,3;120,3;120,3
l10n_pk;base.group_user;147,3;147,3;147,3;147,3;147,3;147,3;147,3;147,3
l10n_pl;base.group_user;555;555;555;555;555;555;555;555
l10n_pl_jpk;base.group_user;180;180;180;180;180;180;180;180
l10n_pl_sale_stock;base.group_user;0;0;0;0;0;0;0;0
l10n_pt;base.group_user;222;222;222;222;222;222;222;222
l10n_qa;base.group_user;30;30;30;30;30;30;30;30
l10n_ro;base.group_user;282;282;282;282;282;282;282;282
l10n_ro_edi;base.group_user;111;111;111;111;111;111;111;111
l10n_ro_edi_stock;base.group_user;45;45;45;45;45;45;45;45
l10n_ro_edi_stock_batch;base.group_user;0;0;0;0;0;0;0;0
l10n_ro_efactura;base.group_user;0;0;0;0;0;0;0;0
l10n_rs;base.group_user;189;189;189;189;189;189;189;189
l10n_rs_edi;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
